"Classification"	"Sample"	"percentage"
"Negativicutes"	"CONTROL8"	0
"Other"	"CONTROL8"	0.004
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL8"	0.001
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL8"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL8"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL8"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL8"	0.004
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL8"	0
"Actinobacteria"	"CONTROL9"	0.04
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL9"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL9"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL9"	0.479
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL9"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL9"	0
"Alphaproteobacteria"	"CONTROL9"	0.036
"Bacilli"	"CONTROL9"	0.041
"Bacteroidia"	"CONTROL9"	0
"Betaproteobacteria"	"CONTROL9"	0.07
"Clostridia"	"CONTROL9"	0.009
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL9"	0.008
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL9"	0
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL9"	0.013
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL9"	0
"Flavobacteria"	"CONTROL9"	0.084
"Fusobacteria"	"CONTROL9"	0
"Gammaproteobacteria"	"CONTROL9"	0
"Negativicutes"	"CONTROL9"	0
"Other"	"CONTROL9"	0.003
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL9"	0.023
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL9"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL9"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL9"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL9"	0.083
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL9"	0.111
"Actinobacteria"	"CONTROL10"	0.071
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL10"	0.334
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL10"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL10"	0.001
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL10"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL10"	0.467
"Alphaproteobacteria"	"CONTROL10"	0
"Bacilli"	"CONTROL10"	0.009
"Bacteroidia"	"CONTROL10"	0
"Betaproteobacteria"	"CONTROL10"	0.004
"Clostridia"	"CONTROL10"	0.014
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL10"	0.091
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL10"	0
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL10"	0.003
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL10"	0
"Flavobacteria"	"CONTROL10"	0.003
"Fusobacteria"	"CONTROL10"	0.001
"Gammaproteobacteria"	"CONTROL10"	0
"Negativicutes"	"CONTROL10"	0
"Other"	"CONTROL10"	0.002
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL10"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL10"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL10"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL10"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL10"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL10"	0
"Actinobacteria"	"DISEASE1"	0.054
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE1"	0.049
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE1"	0.02
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE1"	0.026
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE1"	0.04
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE1"	0.041
"Alphaproteobacteria"	"DISEASE1"	0.023
"Bacilli"	"DISEASE1"	0.044
"Bacteroidia"	"DISEASE1"	0.005
"Betaproteobacteria"	"DISEASE1"	0.013
"Clostridia"	"DISEASE1"	0.016
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE1"	0.255
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE1"	0.053
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE1"	0.177
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE1"	0.02
"Flavobacteria"	"DISEASE1"	0.001
"Fusobacteria"	"DISEASE1"	0.004
"Gammaproteobacteria"	"DISEASE1"	0.043
"Negativicutes"	"DISEASE1"	0.003
"Other"	"DISEASE1"	0.009
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE1"	0.014
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE1"	0.029
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE1"	0.01
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE1"	0.05
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE1"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE1"	0.001
"Actinobacteria"	"DISEASE2"	0.049
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE2"	0.178
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE2"	0.011
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE2"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE2"	0.068
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE2"	0.04
"Alphaproteobacteria"	"DISEASE2"	0.023
"Bacilli"	"DISEASE2"	0.055
"Bacteroidia"	"DISEASE2"	0.01
"Betaproteobacteria"	"DISEASE2"	0.025
"Clostridia"	"DISEASE2"	0.015
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE2"	0.181
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE2"	0.06
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE2"	0.068
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE2"	0.01
"Flavobacteria"	"DISEASE2"	0.017
"Fusobacteria"	"DISEASE2"	0.005
"Gammaproteobacteria"	"DISEASE2"	0.028
"Negativicutes"	"DISEASE2"	0.005
"Other"	"DISEASE2"	0.009
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE2"	0.047
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE2"	0.016
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE2"	0.002
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE2"	0.056
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE2"	0.016
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE2"	0.006
"Actinobacteria"	"DISEASE3"	0.033
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE3"	0.071
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE3"	0.024
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE3"	0.007
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE3"	0.08
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE3"	0.025
"Alphaproteobacteria"	"DISEASE3"	0.049
"Bacilli"	"DISEASE3"	0.023
"Bacteroidia"	"DISEASE3"	0.006
"Betaproteobacteria"	"DISEASE3"	0.058
"Clostridia"	"DISEASE3"	0.022
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE3"	0.157
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE3"	0.11
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE3"	0.08
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE3"	0.014
"Flavobacteria"	"DISEASE3"	0.008
"Fusobacteria"	"DISEASE3"	0.002
"Gammaproteobacteria"	"DISEASE3"	0.038
"Negativicutes"	"DISEASE3"	0.005
"Other"	"DISEASE3"	0.012
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE3"	0.019
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE3"	0.015
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE3"	0.024
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE3"	0.049
